property_listing_id,property_title,property_property_type,property_project_name,property_bhk,property_bathrooms,property_builtup_area_sqft,property_carpet_area_sqft,property_furnishing,property_possession,property_posted_on,price_price,price_price_per_sqft,price_total_price_text,loc_city_id,loc_locality_id,loc_address,loc_latitude,loc_longitude,images_all,nearby_summary
D85437812,"Independent House/Villa for Sale in Heritage Villa 76, Kasindra, Ahmedabad",Independent House/Villa,Heritage Villa 76,4,0,352.85,,,By 2027,Updated 4m ago by builder,13500000,3554,Rs 1.35 Crore,47,32947,"in Heritage Villa 76, Kasindra, Ahmedabad",,,,Satyam Mall (None) | National Highway 751 (None) | Alpha International School (None) | L J University (None) | Sri Sathya Sai Heart Hospital (None) | Sardar Vallabhbhai Patel Int. Airport (None) | Moraiya Railway Station (None) | Business Square (None)
K87008224,"Flat/Apartment for Sale in Anand View Apartment, Shahibaug, Ahmedabad",Flat/Apartment,Anand View Apartment,2,2,,65,Semifurnished,Immediate,Updated 1w ago by owner,7000000,1.08 L,Rs70 Lac,48,7635,"in Anand View Apartment, Shahibaug, Ahmedabad",,,,Moinuddin Chisti Mosque (None) | Dariyakhan Ghummaj (None) | Gayatri Mandir (None) | Gujarat State Police Welfare Hospital (None) | Eye Research Centre And Retina Foundation (None) | ESIC Hospital (None) | Sparsh Netralaya (None) | Akshardeep Orthopaedic Hospital (None) | Austmangal Surgical Hospital (None) | Akshar Krupa Hospital (None) | Arihant Heart And Medical Hospital (None) | Shreeji Neonatal and Child Care (None) | Adinath Hospital Ahmedabad (None) | Jariwala Women's Hospital (None) | The Gujarat Research and Medical Institute Rajasthan Hospital (None) | Reshambhai Fertility Hospital (None) | Jain Hospital (None) | Jeevandeep Hospital Shashibaug (None) | Shiv Sharddha Nursing Home and Super Speciality Clinics (None) | Anand Multi Speciality Hospital Ahmedabad (None) | Shree Bharti Vallabh Hospital (None) | Puneet Maternity Nursing Home (None) | Ami Eye Clinic (None) | Kalptaru Hospital (None) | Chandramani Hospital (None) | Shachi Women's Hospital (None) | Sagar Multi Speciality Hospital (None) | Swari Ent Hospital Ahmedabad (None) | Baps Yogiji Maharaj Hospital (None) | Clear Vision Eye Hospital (None) | Jeel Children Hospital And Neonatal and Vaccination Center (None) | Raj Nursing Home Ahmedabad (None) | Jay Orthopaedic Hospital (None) | Military Hospital (None) | U. N.Mehta Institute Of Cardiology and Research Centre (None) | Zeal Maternity And Nursing Home (None) | Krishna Maternity and Nursing Home (None) | B.J. Medical College Hospital (None) | Namrata Heart and Medical Clinic (None) | Rachana Hospital (None) | Dr. Atul Vaidhya (None) | Narang Eye Hospital Munohwa By Pass Chowk (None) | Bodycare Orthopaedic and Trauma Hospital (None) | Dr. Manish Ravals Hospital (None) | Harsh Neurosurgical Hospital (None) | Naeeka (None) | HANDI HOTEL (None) | BJ Medical College Haripura - (None) | Sabarmati bridge cabin railway station (None) | Sabarmati junction railway station (None)
S87884256,"Flat/Apartment for Sale in Sukirti 54, Shela, Ahmedabad",Flat/Apartment,Sukirti 54,3,3,,968,,Immediate,Updated 8hrs ago by owner,8200000,8471,Rs82 Lac,49,27163,"in Sukirti 54, Shela, Ahmedabad",,,,Thaltej Metro Station (None) | Applewoods Galleria Mall (None) | Shela Road (None) | LDR International School (None) | LJ University (None) | Adwait Multispecialty Hospital (None) | SVP International Airport (None) | Sarkhej Railway Station (None)
B87733298,"Residential Land/Plot for Sale in Bellevue Vieraaa by Davda Infra, Bavla, Ahmedabad",Residential Land/Plot,Bellevue Vieraaa by Davda Infra,0,0,,,,Immediate,Updated 4w ago by builder,6300000,1354,Rs 21 Lac - 1.05 Crore,47,6177,"in Bellevue Vieraaa by Davda Infra, Bavla, Ahmedabad",,,,Brand Factory (None) | Sun Avenue (None) | Rajkot Ahmedabad Highway (None) | New Samarath English School (None) | Shreyas School (None) | Medilink Hospital (None) | Bansi hospital (None) | Punjab National Bank (None) | State Bank of India (None) | Mukata Public Park (None) | Anaya Surgical Hospital (None) | SandBurg - A Food Court in Ahmedabad (None) | PARAMPARA QUALITY FOODS (None) | Shreyas Folk Museum (None)
M88303446,"Independent House/Villa for Sale in Sankalp Bungalow, Motera, Ahmedabad",Independent House/Villa,Sankalp Bungalow,4,5,179.0,,,Immediate,Updated yesterday by owner,40000000,1.6 L,Rs4 Crore,1008530,6075,"in Sankalp Bungalow, Motera, Ahmedabad",,,,4D Square mall (None) | Koteshwar Mahadev Temple Mandir (None) | Sant Asharamji Ashram (None) | Guru Mandir (None) | Om shanti (None) | Lotus Multispeciality Hospital (None) | Pushpa Children Hospital and Neonatal Care (None) | Param Multispeciality Hospital (None) | Sudarshan Multispeciality Hospital (None) | Vijaya Maternity and Surgical Nursing Home (None) | Shilp E.N.T Clinic and Hospital (None) | J K Dental Hospital (None) | Sevak Maternity & Surgical Hospital (None) | Parimal Hospital (None) | Om Pediatric and Neonatal Criticare Hospital (None) | Netra Jyoti Eye and Ent Hospital (None) | Sanskar Heart Care And Medical Hospital (None) | Amrut Arogyadham Medical Hospital (None) | Navodaya Hospital for Neonates and Children (None) | Sentara Multispeciality Hospital (None) | Shree Sai Children Hospital (None) | Satyam Children Hospital (None) | Rhythm Heart and Medical Hospital (None) | Indus Hospital (None) | Chandkheda Orthopedic & Surgical Hospital (None) | Shivam Surgical and Dental Hospital (None) | Shreyas Orthopedic Hospital Ahmedabad (None) | Kanoria Hospital And Research Centre Gandhinagar (None) | Navjivan Hospital (None) | Rajdip Children Hospital (None) | Ansh Multispeciality Hospital (None) | Dhruvi ENT Hospital (None) | Sharda Eye Hospital (None) | Satyamev Hospital (None) | Utkarsh Hospital Ahmedabad (None) | Pushp Hospital and Maternity Home (None) | Devarshi Super Speciality Hospital (None) | Vallabhpark (None) | Fuel (None) | AFC Garden Restaurant (None) | Gujarat Technological University (None) | Dream Scriptor (None) | Gyan bhandar library (None)
L87447004,"Flat/Apartment for Sale in Lalan Ashwamegh Pearl, Maninagar East, Ahmedabad",Flat/Apartment,Lalan Ashwamegh Pearl,3,3,,252.0,Semifurnished,Immediate,Updated 5d ago by owner,14500000,"57,539",Rs1.45 Crore,48,17690,"in Lalan Ashwamegh Pearl, Maninagar East, Ahmedabad",,,,Shree Swaminarayan Temple Gadi Sansthan (None) | Manikarnikeshwar Mahadev Temple (None) | Rukshmani Hospital (None) | ESIS HOSPITAL (None) | Rukshmani Government Hospital (None) | Vani Hospital & IVF center (None) | Vani IVF Center (None) | Pallav J M Desai Memorial Hospital Better Health Pvt.Ltd. (None) | Vivek Children Hospital Khokhara (None) | Aarti Surgical Nursing Home (None) | Dr Dipak C Shah E N T Hospital (None) | Shashvat Child Care (None) | Het Childcare Hospital (None) | Ahmedabad Medical Centre (None) | Kamal Hospital Ahmedabad (None) | Yogiji Medical Hospital (None) | Kunal Medical Hospital Ahmedabad (None) | Shrreeji Surgical Hospital (None) | Palak Hospital Ahmedabad (None) | Aastha Hospital Ahmedabad (None) | Child Care Surgical Hospital (None) | Gandhi Charitable Homeopathy Clinic (None) | Ravi Surgical Hospital Ahmedabad (None) | Dr. Shurti Ent Hospital (None) | Nilkanth Hospital (None) | Ansuya General Hospital (None) | Sharda Surgical Hospital (None) | Dr. Ashish B. Dave (None) | Shruti ENT Hospital (None) | Kanan Maternity and Nursing Home (None) | Parikh Orthopedic Hospital (None) | Parimal Hospital Ahmedabad (None) | Synergy Neonatal and Pediatric Centre (None) | Sneh Clinic (None) | Apollo Clinic (None) | Ratan Deep Surgical And Endoscopy Clinic (None) | Devam Hospital (None) | Ashirwad Children and Eye Hospital (None) | Tiwaris Dental Clinic (None) | Abhishek Hospital and Heart Centre (None) | Kushi Women Hospital (None) | Akshar Surgical Hospital Maninagar (None) | Maya Maternity Hospital (None) | Raghuvir Eye Hospital (None) | Dr. Dave Eye Care (None) | V and M Orthopaedic Centre (None) | Vasavda Community Centre (None) | Maninagar Railway Station (None) | Maninagar Bus stop (None) | Maninagar railway station (None)
U88177770,"Flat/Apartment for Sale in Dev Vihaan, Motera, Ahmedabad",Flat/Apartment,Dev Vihaan,3,3,,1365.0,Furnished,Immediate,Updated 5d ago by owner,16500000,6997,Rs1.65 Crore,1008530,6075,"in Dev Vihaan, Motera, Ahmedabad",,,,4D Square mall (None) | Sant Asharamji Ashram (None) | Ramji Mandir (None) | Koteshwar Mahadev Temple Mandir (None) | Jain Derasar (None) | Vaishno Devi Mataji Mandir (None) | Dharmeshawar Mahadev Temple (None) | Sevak Maternity & Surgical Hospital (None) | Parimal Hospital (None) | Om Pediatric and Neonatal Criticare Hospital (None) | J K Dental Hospital (None) | Sanskar Heart Care And Medical Hospital (None) | Indus Hospital (None) | Param Multispeciality Hospital (None) | Rajdip Children Hospital (None) | Lotus Multispeciality Hospital (None) | Pushpa Children Hospital and Neonatal Care (None) | Dhruvi ENT Hospital (None) | Sharda Eye Hospital (None) | Shilp E.N.T Clinic and Hospital (None) | Sudarshan Multispeciality Hospital (None) | Vijaya Maternity and Surgical Nursing Home (None) | Shree Aman Hospital (None) | Netra Jyoti Eye and Ent Hospital (None) | Panchshil Hospital (None) | Neelkamal Hospital Pvt Ltd Pooja Hospital (None) | Aashirwad Surgical Hospital and Nursing Home (None) | Divya Jyot Eye Hospital (None) | Sanjivan Heart and Medical Hospital (None) | Shreeji Clinic and Nursing Home (None) | Sivmm Kidney Hospital (None) | Geeta Maternity Hospital (None) | Parth Hospital Ahmedabad (None) | Vasudha Eye Hospital (None) | Sabarmati Development Society Sanchalit Sheth Shri Pukhraj Raichand General Hospital (None) | Amruta Hospital and Heart Centre (None) | Khara Fracture and Orthopaedic Hospital (None) | Amrut Arogyadham Medical Hospital (None) | Navodaya Hospital for Neonates and Children (None) | Sentara Multispeciality Hospital (None) | Utkarsh Hospital Ahmedabad (None) | Aryan's (None) | Vallabhpark (None) | Hdfc bank (None) | Gol bank (None) | Bank of baroda (None) | MAHARAJ Food Corner (None) | AFC Garden Restaurant (None) | Kali road railway station (None) | Dream Scriptor (None)
C87534016,"Flat/Apartment for Sale in Nilkanth Dharm Lekh, Hathijan, Ahmedabad",Flat/Apartment,Nilkanth Dharm Lekh,3,2,186.71,180.65,Furnished,Immediate,Updated 1w ago by owner,6500000,"35,981",Rs65 Lac,48,14814,"in Nilkanth Dharm Lekh, Hathijan, Ahmedabad",,,,Ashadeep Polyclinic and Nursing Home (None) | Geratpur railway station (None)
C87221052,"Independent House/Villa for Sale in Thaltej, Ahmedabad",Independent House/Villa,,5,5,575.0,425.0,Furnished,Immediate,Updated 2w ago by owner,87000000,1.51 L,Rs8.7 Crore,49,1294,"in Thaltej, Ahmedabad",,,,Gurukul (None) | Bank of baroda ATM (None) | Axis bank ATM (None) | Samarpan Maternity And Urosurgical Hospital (None) | Surveen Children Hospital And Vaccination Centre (None) | Udit Hospital Multi Speciality (None) | Apex Heart Institute (None) | Sal Hospital and Medical Institute (None) | Mehta Hospital Siddhachal (None) | Chandandwar Hospital (None) | Dr. Manish Goyal (None) | Raghudeep Eye Clinic (None) | Neil Hospital Ahmedabad (None) | Rainbow Super Speciality Children's Hospital (None) | Arthro Care Hospital (None) | Sterling Hospital Div. Of Addlife Medical Institute Pvt. Ltd. (None) | The Vitreoretina Clinic and Eye Hospital (None) | P.N.Desai Eye Hospital (None) | Netram Care Eye Hospital (None) | Cims Hospital Private Limieted (None) | Om Children Hospital (None) | Aroma Womens Hospital (None) | Tirtham Surgical and Laparoscopic Centre (None) | Shri Gordhandas Charitable Hospital (None) | Shreekrishna Hospital and Health Care Centre (None) | Shashwat Hospital and Research Center Ahmedabad (None) | Nandan Maternity Home (None) | Brinda Women's Hospital (None) | Kalpana Maternity and Nursing Home Ahmedabad (None) | Kidney And Urology Hospital (None) | Aditya Multi-Speciality Hospital (None) | Sharda Eye Hospital Phaco And Laser Centre - Ahmedabad (None) | Chandrabhan Hospital and Gynac Institute (None) | Shangrila Bunglows (None) | Ramanand gurukul swastik hall (None) | Raghunath Party Plot (None) | Indian oil (None) | PVR acropolis mall (None) | Adlabs BIG Cinema (None) | V.Desi Food Couet (None) | Barbeque Nation (None) | Black Salt (None) | Subway (None) | Honest (None) | Subway (None) | Atithi Dining Hall (None) | Havmor (None) | Nirma School (None) | Indian Institute Of Management (None) | Azista Aerospace (None)
D75991359,"Flat/Apartment for Sale in Rang Reality Seattle Sky, Shantipura, SP Ring Road West",Flat/Apartment,Rang Reality Seattle Sky,5,4,,3200.0,Semifurnished,Immediate,Updated 1w ago by owner,16500000,5156,Rs1.65 Crore,49,36727,"in Rang Reality Seattle Sky, Shantipura, SP Ring Road West",,,,"APMC Metro Station (None) | NH-147 (None) | Shanti Asiatic School (None) | LJ campus (None) | Sahyog Hospital (None) | Sardar Vallabhbhai Airport (None) | Sarkhej, Station (None) | SWATI TRINITY (None) | Crowne Plaza (None) | Maniar's Wonderland (None) | Gulmohar Greens Golf (None)"
