project_id,project_name,project_type,launch_status,city,locality,state,latitude,longitude,address,postal_code,price_min,price_max,price_label,site_plan_url,has_rera_disclaimer,available_bhk_types,highlights,government_charges,bhk,property_type,area_sqft,area_type,price,price_authentic,possession,possession_raw,floorplan_2d_url,floorplan_3d_url,sellers
1556,Pacifica Reflections,Residential,NEW LAUNCH,Ahmedabad North,Vaishnodevi Circle,Gujarat,23.133796,72.549086,"Nr.Vaishnodevi Temple , B/H Nirma University, Sardar Patel Ring Road, Ahmedabad",0,7000000,9600000,70 - 96 L,https://www.99acres.com/exidmicrosite/siteplan_g2c.php?live=2&g2c=1&xid_request=1&code=R1556,TRUE,"2,3","Located between S.G Highway and S.P Ring Road | In close proximity to Zydus corporate office | Designed by reputed architect with high-end specifications | Strategically located near entertainment, healthcare, and education","Stamp Duty: 5.9 % for Male, 4.9 % for Female, 5.9 % for Joint (Male and Female), 4.9 % For Joint (Female and Female) | Registration Charges: Male Ownership: 1%, Female Ownership: No registration charges,  Joint (Male + Female) Ownership: 1 % ",2,Apartment,814,Carpet Area,7000000,TRUE,Dec ‘18 possession,18-Dec,https://newprojects.99acres.com/projects/pacifica_companies/reflections/maps/e28ru44z.jpg,https://www.99acres.com/exidmicrosite/property_2d3d_xid.php?projectCode=R1556&bno=103&blockId=1108&fno=F1_103&measurement=1&jquery=1&compare=1&g2c=1&hide_button=1&switch_HD=&platform=DESKTOP,ADVAITYA REALTY (Dealer)
1556,Pacifica Reflections,Residential,NEW LAUNCH,Ahmedabad North,Vaishnodevi Circle,Gujarat,23.133796,72.549086,"Nr.Vaishnodevi Temple , B/H Nirma University, Sardar Patel Ring Road, Ahmedabad",0,7000000,9600000,70 - 96 L,https://www.99acres.com/exidmicrosite/siteplan_g2c.php?live=2&g2c=1&xid_request=1&code=R1556,TRUE,"2,3","Located between S.G Highway and S.P Ring Road | In close proximity to Zydus corporate office | Designed by reputed architect with high-end specifications | Strategically located near entertainment, healthcare, and education","Stamp Duty: 5.9 % for Male, 4.9 % for Female, 5.9 % for Joint (Male and Female), 4.9 % For Joint (Female and Female) | Registration Charges: Male Ownership: 1%, Female Ownership: No registration charges,  Joint (Male + Female) Ownership: 1 % ",2,Apartment,878,Carpet Area,0,FALSE,,,https://newprojects.99acres.com/projects/pacifica_companies/reflections/maps/xm3qctdb.jpg,https://www.99acres.com/exidmicrosite/property_2d3d_xid.php?projectCode=R1556&bno=101&blockId=1108&fno=F1_101&measurement=1&jquery=1&compare=1&g2c=1&hide_button=1&switch_HD=&platform=DESKTOP,
1556,Pacifica Reflections,Residential,NEW LAUNCH,Ahmedabad North,Vaishnodevi Circle,Gujarat,23.133796,72.549086,"Nr.Vaishnodevi Temple , B/H Nirma University, Sardar Patel Ring Road, Ahmedabad",0,7000000,9600000,70 - 96 L,https://www.99acres.com/exidmicrosite/siteplan_g2c.php?live=2&g2c=1&xid_request=1&code=R1556,TRUE,"2,3","Located between S.G Highway and S.P Ring Road | In close proximity to Zydus corporate office | Designed by reputed architect with high-end specifications | Strategically located near entertainment, healthcare, and education","Stamp Duty: 5.9 % for Male, 4.9 % for Female, 5.9 % for Joint (Male and Female), 4.9 % For Joint (Female and Female) | Registration Charges: Male Ownership: 1%, Female Ownership: No registration charges,  Joint (Male + Female) Ownership: 1 % ",3,Apartment,1165,Carpet Area,9600000,TRUE,Dec ‘18 possession,18-Dec,https://newprojects.99acres.com/projects/pacifica_companies/reflections/maps/l4e8gmba.jpg,https://www.99acres.com/exidmicrosite/property_2d3d_xid.php?projectCode=R1556&bno=101&blockId=1114&fno=F1_101&measurement=1&jquery=1&compare=1&g2c=1&hide_button=1&switch_HD=&platform=DESKTOP,ADVAITYA REALTY (Dealer)
1556,Pacifica Reflections,Residential,NEW LAUNCH,Ahmedabad North,Vaishnodevi Circle,Gujarat,23.133796,72.549086,"Nr.Vaishnodevi Temple , B/H Nirma University, Sardar Patel Ring Road, Ahmedabad",0,7000000,9600000,70 - 96 L,https://www.99acres.com/exidmicrosite/siteplan_g2c.php?live=2&g2c=1&xid_request=1&code=R1556,TRUE,"2,3","Located between S.G Highway and S.P Ring Road | In close proximity to Zydus corporate office | Designed by reputed architect with high-end specifications | Strategically located near entertainment, healthcare, and education","Stamp Duty: 5.9 % for Male, 4.9 % for Female, 5.9 % for Joint (Male and Female), 4.9 % For Joint (Female and Female) | Registration Charges: Male Ownership: 1%, Female Ownership: No registration charges,  Joint (Male + Female) Ownership: 1 % ",3,Apartment,975,Carpet Area,0,FALSE,,,https://newprojects.99acres.com/projects/pacifica_companies/reflections/maps/t4y2mesy.jpg,https://www.99acres.com/exidmicrosite/property_2d3d_xid.php?projectCode=R1556&bno=102&blockId=1114&fno=F1_102&measurement=1&jquery=1&compare=1&g2c=1&hide_button=1&switch_HD=&platform=DESKTOP,
1556,Pacifica Reflections,Residential,NEW LAUNCH,Ahmedabad North,Vaishnodevi Circle,Gujarat,23.133796,72.549086,"Nr.Vaishnodevi Temple , B/H Nirma University, Sardar Patel Ring Road, Ahmedabad",0,7000000,9600000,70 - 96 L,https://www.99acres.com/exidmicrosite/siteplan_g2c.php?live=2&g2c=1&xid_request=1&code=R1556,TRUE,"2,3","Located between S.G Highway and S.P Ring Road | In close proximity to Zydus corporate office | Designed by reputed architect with high-end specifications | Strategically located near entertainment, healthcare, and education","Stamp Duty: 5.9 % for Male, 4.9 % for Female, 5.9 % for Joint (Male and Female), 4.9 % For Joint (Female and Female) | Registration Charges: Male Ownership: 1%, Female Ownership: No registration charges,  Joint (Male + Female) Ownership: 1 % ",3,Apartment,1148,Carpet Area,0,FALSE,,,https://newprojects.99acres.com/projects/pacifica_companies/reflections/maps/26v41r3w.jpg,,
1556,Pacifica Reflections,Residential,NEW LAUNCH,Ahmedabad North,Vaishnodevi Circle,Gujarat,23.133796,72.549086,"Nr.Vaishnodevi Temple , B/H Nirma University, Sardar Patel Ring Road, Ahmedabad",0,7000000,9600000,70 - 96 L,https://www.99acres.com/exidmicrosite/siteplan_g2c.php?live=2&g2c=1&xid_request=1&code=R1556,TRUE,"2,3","Located between S.G Highway and S.P Ring Road | In close proximity to Zydus corporate office | Designed by reputed architect with high-end specifications | Strategically located near entertainment, healthcare, and education","Stamp Duty: 5.9 % for Male, 4.9 % for Female, 5.9 % for Joint (Male and Female), 4.9 % For Joint (Female and Female) | Registration Charges: Male Ownership: 1%, Female Ownership: No registration charges,  Joint (Male + Female) Ownership: 1 % ",3,Apartment,1157,Carpet Area,0,FALSE,,,https://newprojects.99acres.com/projects/pacifica_companies/reflections/maps/exsqhuli.jpg,,
1556,Pacifica Reflections,Residential,NEW LAUNCH,Ahmedabad North,Vaishnodevi Circle,Gujarat,23.133796,72.549086,"Nr.Vaishnodevi Temple , B/H Nirma University, Sardar Patel Ring Road, Ahmedabad",0,7000000,9600000,70 - 96 L,https://www.99acres.com/exidmicrosite/siteplan_g2c.php?live=2&g2c=1&xid_request=1&code=R1556,TRUE,"2,3","Located between S.G Highway and S.P Ring Road | In close proximity to Zydus corporate office | Designed by reputed architect with high-end specifications | Strategically located near entertainment, healthcare, and education","Stamp Duty: 5.9 % for Male, 4.9 % for Female, 5.9 % for Joint (Male and Female), 4.9 % For Joint (Female and Female) | Registration Charges: Male Ownership: 1%, Female Ownership: No registration charges,  Joint (Male + Female) Ownership: 1 % ",3,Apartment,1240,Carpet Area,0,FALSE,,,https://newprojects.99acres.com/projects/pacifica_companies/reflections/maps/fmzsit9a.jpg,,
17688,Gala Haven,Residential,NEW LAUNCH,Ahmedabad North,Vaishnodevi Circle,Gujarat,23.134919,72.54569,"Vaishnodevi Temple Circle, Off. S.G. Highway, 200 Ft. S. P. Ring Road, Ahmedabad 384001",0,6200000,8800000,62 - 88 L,,TRUE,"2,3",IGBC Gold Rated Project | Disabled Friendly | Grey Water Recycling | Properties with 100% power backup available,"Stamp Duty: 5.9 % for Male, 4.9 % for Female, 5.9 % for Joint (Male and Female), 4.9 % For Joint (Female and Female) | Registration Charges: Male Ownership: 1%, Female Ownership: No registration charges,  Joint (Male + Female) Ownership: 1 % ",2,Apartment,1420,Super Built-up Area,6200000,TRUE,Oct ‘13 possession,13-Oct,https://imagecdn.99acres.com/projects/example/ehsakn1_1746506663_593182575.jpg,https://www.99acres.com/exidmicrosite/property_2d3d_xid.php?projectCode=6946&bno=102&blockId=6164&fno=F1_102&measurement=1&jquery=1&compare=1&g2c=1&hide_button=1&switch_HD=1&platform=DESKTOP,ADVAITYA REALTY (Dealer)
17688,Gala Haven,Residential,NEW LAUNCH,Ahmedabad North,Vaishnodevi Circle,Gujarat,23.134919,72.54569,"Vaishnodevi Temple Circle, Off. S.G. Highway, 200 Ft. S. P. Ring Road, Ahmedabad 384001",0,6200000,8800000,62 - 88 L,,TRUE,"2,3",IGBC Gold Rated Project | Disabled Friendly | Grey Water Recycling | Properties with 100% power backup available,"Stamp Duty: 5.9 % for Male, 4.9 % for Female, 5.9 % for Joint (Male and Female), 4.9 % For Joint (Female and Female) | Registration Charges: Male Ownership: 1%, Female Ownership: No registration charges,  Joint (Male + Female) Ownership: 1 % ",2,Apartment,1300,Super Built-up Area,0,FALSE,,,https://imagecdn.99acres.com/projects/example/tzxwgrc_1746506733_593183155.jpg,https://www.99acres.com/exidmicrosite/property_2d3d_xid.php?projectCode=6946&bno=101&blockId=6164&fno=F1_101&measurement=1&jquery=1&compare=1&g2c=1&hide_button=1&switch_HD=1&platform=DESKTOP,
17688,Gala Haven,Residential,NEW LAUNCH,Ahmedabad North,Vaishnodevi Circle,Gujarat,23.134919,72.54569,"Vaishnodevi Temple Circle, Off. S.G. Highway, 200 Ft. S. P. Ring Road, Ahmedabad 384001",0,6200000,8800000,62 - 88 L,,TRUE,"2,3",IGBC Gold Rated Project | Disabled Friendly | Grey Water Recycling | Properties with 100% power backup available,"Stamp Duty: 5.9 % for Male, 4.9 % for Female, 5.9 % for Joint (Male and Female), 4.9 % For Joint (Female and Female) | Registration Charges: Male Ownership: 1%, Female Ownership: No registration charges,  Joint (Male + Female) Ownership: 1 % ",3,Apartment,1850,Super Built-up Area,8800000,TRUE,Oct ‘13 possession,13-Oct,https://imagecdn.99acres.com/projects/example/yswjog8_1746506801_593183353.jpg,https://www.99acres.com/exidmicrosite/property_2d3d_xid.php?projectCode=6946&bno=103&blockId=6164&fno=F1_103&measurement=1&jquery=1&compare=1&g2c=1&hide_button=1&switch_HD=1&platform=DESKTOP,ADVAITYA REALTY (Dealer)
