project_id,project_name,project_type,launch_status,city,locality,state,latitude,longitude,address,postal_code,price_min,price_max,price_label,site_plan_url,has_rera_disclaimer,available_bhk_types,highlights,government_charges,bhk,property_type,area_sqft,area_type,price,price_authentic,possession,possession_raw,floorplan_2d_url,floorplan_3d_url,sellers
428567,Polaris Callisto,Residential,NEW LAUNCH,Ahmedabad North,Motera,Gujarat,23.104529,72.611897,"Polaris Callisto, Koteshwar Bhat Rd, opposite Polaris Celestia, Koteshwar, Ahmedabad, Gujarat 380005",0,19995000,21027000,2 - 2.1 Cr,https://www.99acres.com/exidmicrosite/siteplan_g2c.php?live=2&g2c=1&xid_request=1&code=58722,True,4,"Two-level basement parking with wide driveways for hassle-free access | Serene greenery with a common plot and beautifully landscaped surroundings | Modern lifestyle with fitness center, yoga space & jogging track | Family-friendly with clubhouse, kids' play area & guest rooms","Stamp Duty: 5.9 % for Male, 4.9 % for Female, 5.9 % for Joint (Male and Female), 4.9 % For Joint (Female and Female) | Registration Charges: Male Ownership: 1%, Female Ownership: No registration charges,  Joint (Male + Female) Ownership: 1 % ",4,Apartment,1938.04,Carpet Area,19995000,True,Dec ‘27 possession,12-2027,https://imagecdn.99acres.com/projects/example/o7ts6dz_1735365195_544268633.jpg,https://www.99acres.com/exidmicrosite/property_2d3d_xid.php?projectCode=58722&bno=101&blockId=123632&fno=F1_101&measurement=1&jquery=1&compare=1&g2c=1&hide_button=1&switch_HD=1&platform=DESKTOP,POLARIS GROUP (Builder)
428567,Polaris Callisto,Residential,NEW LAUNCH,Ahmedabad North,Motera,Gujarat,23.104529,72.611897,"Polaris Callisto, Koteshwar Bhat Rd, opposite Polaris Celestia, Koteshwar, Ahmedabad, Gujarat 380005",0,19995000,21027000,2 - 2.1 Cr,https://www.99acres.com/exidmicrosite/siteplan_g2c.php?live=2&g2c=1&xid_request=1&code=58722,True,4,"Two-level basement parking with wide driveways for hassle-free access | Serene greenery with a common plot and beautifully landscaped surroundings | Modern lifestyle with fitness center, yoga space & jogging track | Family-friendly with clubhouse, kids' play area & guest rooms","Stamp Duty: 5.9 % for Male, 4.9 % for Female, 5.9 % for Joint (Male and Female), 4.9 % For Joint (Female and Female) | Registration Charges: Male Ownership: 1%, Female Ownership: No registration charges,  Joint (Male + Female) Ownership: 1 % ",4,Apartment,2009.73,Carpet Area,21027000,True,Dec ‘27 possession,12-2027,https://imagecdn.99acres.com/projects/example/cbkruea_1735365230_544268863.jpg,https://www.99acres.com/exidmicrosite/property_2d3d_xid.php?projectCode=58722&bno=102&blockId=123632&fno=F1_102&measurement=1&jquery=1&compare=1&g2c=1&hide_button=1&switch_HD=1&platform=DESKTOP,POLARIS GROUP (Builder)
449709,Harvi Helios,Residential,NEW LAUNCH,Ahmedabad West,South Bopal,Gujarat,23.010563,72.466006,"Harvi Helios, Near Samay Shine Flat, VIP Road, Bopal, Ahmedabad",380058,8109084,8334068,81.09 - 83.34 L,https://www.99acres.com/exidmicrosite/siteplan_g2c.php?live=2&g2c=1&xid_request=1&code=60867,True,3,"Spacious Clubhouse and expansive Event Lawn | Strategic South Bopal location, near top educational institutions | Towering architectural statement, embodying modern elegance | Get Unit of your choice","Stamp Duty: 5.9 % for Male, 4.9 % for Female, 5.9 % for Joint (Male and Female), 4.9 % For Joint (Female and Female) | Registration Charges: Male Ownership: 1%, Female Ownership: No registration charges,  Joint (Male + Female) Ownership: 1 % ",3,Apartment,845.93,Carpet Area,8109084,True,Dec ‘29 possession,12-2029,https://imagecdn.99acres.com/projects/example/7nymrpy_1754567892_629758615.jpg,https://www.99acres.com/exidmicrosite/property_2d3d_xid.php?projectCode=60867&bno=101&blockId=127697&fno=F1_101&measurement=1&jquery=1&compare=1&g2c=1&hide_button=1&switch_HD=1&platform=DESKTOP,The Habitat Realtors (Dealer) | Krunal Kshatriya (Dealer) | Solanki Mehul (Dealer) | Kunal Shah (RERA REGISTERED Dealer)
449709,Harvi Helios,Residential,NEW LAUNCH,Ahmedabad West,South Bopal,Gujarat,23.010563,72.466006,"Harvi Helios, Near Samay Shine Flat, VIP Road, Bopal, Ahmedabad",380058,8109084,8334068,81.09 - 83.34 L,https://www.99acres.com/exidmicrosite/siteplan_g2c.php?live=2&g2c=1&xid_request=1&code=60867,True,3,"Spacious Clubhouse and expansive Event Lawn | Strategic South Bopal location, near top educational institutions | Towering architectural statement, embodying modern elegance | Get Unit of your choice","Stamp Duty: 5.9 % for Male, 4.9 % for Female, 5.9 % for Joint (Male and Female), 4.9 % For Joint (Female and Female) | Registration Charges: Male Ownership: 1%, Female Ownership: No registration charges,  Joint (Male + Female) Ownership: 1 % ",3,Apartment,869.4,Carpet Area,8334068,True,Dec ‘29 possession,12-2029,https://imagecdn.99acres.com/projects/example/zlg4xrn_1754567919_629758843.jpg,https://www.99acres.com/exidmicrosite/property_2d3d_xid.php?projectCode=60867&bno=102&blockId=127697&fno=F1_102&measurement=1&jquery=1&compare=1&g2c=1&hide_button=1&switch_HD=1&platform=DESKTOP,The Habitat Realtors (Dealer) | Krunal Kshatriya (Dealer) | Solanki Mehul (Dealer) | Kunal Shah (RERA REGISTERED Dealer)
379963,Vishwanath Maher Select,Residential,NEW LAUNCH,Ahmedabad West,Shela,Gujarat,23.002245,72.456793,"Shela, Ahmedabad West",382465,8619765,8652996,86.2 - 86.53 L,https://www.99acres.com/exidmicrosite/siteplan_g2c.php?live=2&g2c=1&xid_request=1&code=48944,True,3,56% open space | Ample parking space available | All units with spacious balconies | 8.89% price appreciation in the last 1 year,"Stamp Duty: 5.9 % for Male, 4.9 % for Female, 5.9 % for Joint (Male and Female), 4.9 % For Joint (Female and Female) | Registration Charges: Male Ownership: 1%, Female Ownership: No registration charges,  Joint (Male + Female) Ownership: 1 % ",3,Apartment,865.53,Carpet Area,8619765,True,Apr ‘25 possession,04-2025,https://newprojects.99acres.com/projects/unknown/maher_select/maps/mxabgcs4.jpg,https://www.99acres.com/exidmicrosite/property_2d3d_xid.php?projectCode=48944&bno=101&blockId=100654&fno=F1_101&measurement=1&jquery=1&compare=1&g2c=1&hide_button=1&switch_HD=1&platform=DESKTOP,Proptiger Marketing Services Pvt Ltd (Dealer) | ESTATE (Dealer) | Realty Lacasa (RERA REGISTERED Dealer) | NARAN DESAI (Dealer)
379963,Vishwanath Maher Select,Residential,NEW LAUNCH,Ahmedabad West,Shela,Gujarat,23.002245,72.456793,"Shela, Ahmedabad West",382465,8619765,8652996,86.2 - 86.53 L,https://www.99acres.com/exidmicrosite/siteplan_g2c.php?live=2&g2c=1&xid_request=1&code=48944,True,3,56% open space | Ample parking space available | All units with spacious balconies | 8.89% price appreciation in the last 1 year,"Stamp Duty: 5.9 % for Male, 4.9 % for Female, 5.9 % for Joint (Male and Female), 4.9 % For Joint (Female and Female) | Registration Charges: Male Ownership: 1%, Female Ownership: No registration charges,  Joint (Male + Female) Ownership: 1 % ",3,Apartment,868.86,Carpet Area,8652996,True,Apr ‘25 possession,04-2025,https://newprojects.99acres.com/projects/unknown/maher_select/maps/xcxa1obn.jpg,https://www.99acres.com/exidmicrosite/property_2d3d_xid.php?projectCode=48944&bno=102&blockId=100654&fno=F1_102&measurement=1&jquery=1&compare=1&g2c=1&hide_button=1&switch_HD=1&platform=DESKTOP,Proptiger Marketing Services Pvt Ltd (Dealer) | ESTATE (Dealer) | Realty Lacasa (RERA REGISTERED Dealer) | NARAN DESAI (Dealer)
408242,Sheetal Dharohar,Residential,NEW LAUNCH,Ahmedabad North,SG Highway,Gujarat,23.131606,72.544818,"Bh Zydus Corporate park, near nirma university, S G Highway,Ahmedabad",0,13800000,19500000,1.38 - 1.95 Cr,https://www.99acres.com/exidmicrosite/siteplan_g2c.php?live=2&g2c=1&xid_request=1&code=54731,True,"3,4",First 22 storey project in Vaishnodevi area | 360 degree open view  | Situated close to SG Highway | Water available from both municipal corporation and borewell,"Stamp Duty: 5.9 % for Male, 4.9 % for Female, 5.9 % for Joint (Male and Female), 4.9 % For Joint (Female and Female) | Registration Charges: Male Ownership: 1%, Female Ownership: No registration charges,  Joint (Male + Female) Ownership: 1 % ",3,Apartment,2300.0,Super Built-up Area,13800000,True,Apr ‘26 possession,04-2026,https://newprojects.99acres.com/projects/sheetal_infrastructure_ahmedabad/sheetal_dharohar/maps/qw3jft1_1695294107_446725630.jpg,https://www.99acres.com/exidmicrosite/property_2d3d_xid.php?projectCode=54731&bno=101&blockId=114600&fno=F1_101&measurement=1&jquery=1&compare=1&g2c=1&hide_button=1&switch_HD=1&platform=DESKTOP,Proptiger Marketing Services Pvt Ltd (Dealer) | Galaxy Space Realtors (RERA REGISTERED Dealer) | BHAVESH PANDYA (Dealer)
408242,Sheetal Dharohar,Residential,NEW LAUNCH,Ahmedabad North,SG Highway,Gujarat,23.131606,72.544818,"Bh Zydus Corporate park, near nirma university, S G Highway,Ahmedabad",0,13800000,19500000,1.38 - 1.95 Cr,https://www.99acres.com/exidmicrosite/siteplan_g2c.php?live=2&g2c=1&xid_request=1&code=54731,True,"3,4",First 22 storey project in Vaishnodevi area | 360 degree open view  | Situated close to SG Highway | Water available from both municipal corporation and borewell,"Stamp Duty: 5.9 % for Male, 4.9 % for Female, 5.9 % for Joint (Male and Female), 4.9 % For Joint (Female and Female) | Registration Charges: Male Ownership: 1%, Female Ownership: No registration charges,  Joint (Male + Female) Ownership: 1 % ",3,Apartment,2390.0,Super Built-up Area,14340000,True,Apr ‘26 possession,04-2026,https://newprojects.99acres.com/projects/sheetal_infrastructure_ahmedabad/sheetal_dharohar/maps/obqoor2_1695294671_446728196.jpg,https://www.99acres.com/exidmicrosite/property_2d3d_xid.php?projectCode=54731&bno=102&blockId=114600&fno=F1_102&measurement=1&jquery=1&compare=1&g2c=1&hide_button=1&switch_HD=1&platform=DESKTOP,Proptiger Marketing Services Pvt Ltd (Dealer) | Galaxy Space Realtors (RERA REGISTERED Dealer) | BHAVESH PANDYA (Dealer)
408242,Sheetal Dharohar,Residential,NEW LAUNCH,Ahmedabad North,SG Highway,Gujarat,23.131606,72.544818,"Bh Zydus Corporate park, near nirma university, S G Highway,Ahmedabad",0,13800000,19500000,1.38 - 1.95 Cr,https://www.99acres.com/exidmicrosite/siteplan_g2c.php?live=2&g2c=1&xid_request=1&code=54731,True,"3,4",First 22 storey project in Vaishnodevi area | 360 degree open view  | Situated close to SG Highway | Water available from both municipal corporation and borewell,"Stamp Duty: 5.9 % for Male, 4.9 % for Female, 5.9 % for Joint (Male and Female), 4.9 % For Joint (Female and Female) | Registration Charges: Male Ownership: 1%, Female Ownership: No registration charges,  Joint (Male + Female) Ownership: 1 % ",3,Apartment,2350.0,Super Built-up Area,14100000,True,Apr ‘26 possession,04-2026,,,Proptiger Marketing Services Pvt Ltd (Dealer) | Galaxy Space Realtors (RERA REGISTERED Dealer)
408242,Sheetal Dharohar,Residential,NEW LAUNCH,Ahmedabad North,SG Highway,Gujarat,23.131606,72.544818,"Bh Zydus Corporate park, near nirma university, S G Highway,Ahmedabad",0,13800000,19500000,1.38 - 1.95 Cr,https://www.99acres.com/exidmicrosite/siteplan_g2c.php?live=2&g2c=1&xid_request=1&code=54731,True,"3,4",First 22 storey project in Vaishnodevi area | 360 degree open view  | Situated close to SG Highway | Water available from both municipal corporation and borewell,"Stamp Duty: 5.9 % for Male, 4.9 % for Female, 5.9 % for Joint (Male and Female), 4.9 % For Joint (Female and Female) | Registration Charges: Male Ownership: 1%, Female Ownership: No registration charges,  Joint (Male + Female) Ownership: 1 % ",3,Apartment,2440.0,Super Built-up Area,14640000,True,Apr ‘26 possession,04-2026,,,Proptiger Marketing Services Pvt Ltd (Dealer) | Galaxy Space Realtors (RERA REGISTERED Dealer)
