project_id,project_name,project_type,launch_status,city,locality,state,latitude,longitude,address,postal_code,price_min,price_max,price_label,site_plan_url,has_rera_disclaimer,available_bhk_types,highlights,government_charges,bhk,property_type,area_sqft,area_type,price,price_authentic,possession,possession_raw,floorplan_2d_url,floorplan_3d_url,sellers
455077,Surendra Anugrah Villas,Residential,NEW LAUNCH,Ahmedabad South,Kasindra,Gujarat,22.901121,72.472335,"Kasindra, Ahmedabad South",382465,0,0,Price on Request,https://www.99acres.com/exidmicrosite/siteplan_g2c.php?live=2&g2c=1&xid_request=1&code=61600,True,"4,5","Located opp to Tajpur Road, offering the best of serene and urban life | Each villa includes a multi-purpose sports court and kids play area | Each villa offers expansive living spaces, ensuring privacy | Get Unit of your choice","Stamp Duty: 5.9 % for Male, 4.9 % for Female, 5.9 % for Joint (Male and Female), 4.9 % For Joint (Female and Female) | Registration Charges: Male Ownership: 1%, Female Ownership: No registration charges,  Joint (Male + Female) Ownership: 1 % ",4,Villa,3474.0,Super Built-up Area,0,False,Dec ‘27 possession,12-2027,https://imagecdn.99acres.com/projects/example/00entan_1760445704_660577253.jpg,https://www.99acres.com/exidmicrosite/property_2d3d_xid.php?projectCode=61600&bno=101&blockId=129595&fno=F1_101&measurement=1&jquery=1&compare=1&g2c=1&hide_button=1&switch_HD=1&platform=DESKTOP,
455077,Surendra Anugrah Villas,Residential,NEW LAUNCH,Ahmedabad South,Kasindra,Gujarat,22.901121,72.472335,"Kasindra, Ahmedabad South",382465,0,0,Price on Request,https://www.99acres.com/exidmicrosite/siteplan_g2c.php?live=2&g2c=1&xid_request=1&code=61600,True,"4,5","Located opp to Tajpur Road, offering the best of serene and urban life | Each villa includes a multi-purpose sports court and kids play area | Each villa offers expansive living spaces, ensuring privacy | Get Unit of your choice","Stamp Duty: 5.9 % for Male, 4.9 % for Female, 5.9 % for Joint (Male and Female), 4.9 % For Joint (Female and Female) | Registration Charges: Male Ownership: 1%, Female Ownership: No registration charges,  Joint (Male + Female) Ownership: 1 % ",5,Villa,4374.0,Super Built-up Area,0,False,Dec ‘27 possession,12-2027,https://imagecdn.99acres.com/projects/example/x7zj8zy_1760445717_660577337.jpg,https://www.99acres.com/exidmicrosite/property_2d3d_xid.php?projectCode=61600&bno=102&blockId=129595&fno=F1_102&measurement=1&jquery=1&compare=1&g2c=1&hide_button=1&switch_HD=1&platform=DESKTOP,
414403,Aarohi Avinya,Residential,NEW LAUNCH,Ahmedabad West,Satellite,Gujarat,23.020092739361,72.515168967141,"Jodhpur, Ahmedabad West",380015,18408000,19266000,1.84 - 1.93 Cr,,True,3,"70% open spaces for leisure, wellness, and connection | Prestigious location with seamless urban–nature harmony | Lush landscaped gardens for tranquil everyday living | Spacious interiors with large windows and city views","Stamp Duty: 5.9 % for Male, 4.9 % for Female, 5.9 % for Joint (Male and Female), 4.9 % For Joint (Female and Female) | Registration Charges: Male Ownership: 1%, Female Ownership: No registration charges,  Joint (Male + Female) Ownership: 1 % ",3,Apartment,2360.0,Super Built-up Area,18408000,True,Dec ‘28 possession,12-2028,https://newprojects.99acres.com/projects/siddhi_developers/aarohi_avinya/maps/9q1y2ql_1720001094_502149703.jpg,,Tanishqua Reality (RERA REGISTERED Dealer)
414403,Aarohi Avinya,Residential,NEW LAUNCH,Ahmedabad West,Satellite,Gujarat,23.020092739361,72.515168967141,"Jodhpur, Ahmedabad West",380015,18408000,19266000,1.84 - 1.93 Cr,,True,3,"70% open spaces for leisure, wellness, and connection | Prestigious location with seamless urban–nature harmony | Lush landscaped gardens for tranquil everyday living | Spacious interiors with large windows and city views","Stamp Duty: 5.9 % for Male, 4.9 % for Female, 5.9 % for Joint (Male and Female), 4.9 % For Joint (Female and Female) | Registration Charges: Male Ownership: 1%, Female Ownership: No registration charges,  Joint (Male + Female) Ownership: 1 % ",3,Apartment,2400.0,Super Built-up Area,18720000,True,Dec ‘28 possession,12-2028,https://newprojects.99acres.com/projects/siddhi_developers/aarohi_avinya/maps/28jtfg8_1720001094_502149705.jpg,,Tanishqua Reality (RERA REGISTERED Dealer)
414403,Aarohi Avinya,Residential,NEW LAUNCH,Ahmedabad West,Satellite,Gujarat,23.020092739361,72.515168967141,"Jodhpur, Ahmedabad West",380015,18408000,19266000,1.84 - 1.93 Cr,,True,3,"70% open spaces for leisure, wellness, and connection | Prestigious location with seamless urban–nature harmony | Lush landscaped gardens for tranquil everyday living | Spacious interiors with large windows and city views","Stamp Duty: 5.9 % for Male, 4.9 % for Female, 5.9 % for Joint (Male and Female), 4.9 % For Joint (Female and Female) | Registration Charges: Male Ownership: 1%, Female Ownership: No registration charges,  Joint (Male + Female) Ownership: 1 % ",3,Apartment,2425.0,Super Built-up Area,18915000,True,Dec ‘28 possession,12-2028,https://newprojects.99acres.com/projects/siddhi_developers/aarohi_avinya/maps/ulcz3vk_1720001094_502149699.jpg,,Siddhi Infralink Private limited (Builder) | Tanishqua Reality (RERA REGISTERED Dealer)
414403,Aarohi Avinya,Residential,NEW LAUNCH,Ahmedabad West,Satellite,Gujarat,23.020092739361,72.515168967141,"Jodhpur, Ahmedabad West",380015,18408000,19266000,1.84 - 1.93 Cr,,True,3,"70% open spaces for leisure, wellness, and connection | Prestigious location with seamless urban–nature harmony | Lush landscaped gardens for tranquil everyday living | Spacious interiors with large windows and city views","Stamp Duty: 5.9 % for Male, 4.9 % for Female, 5.9 % for Joint (Male and Female), 4.9 % For Joint (Female and Female) | Registration Charges: Male Ownership: 1%, Female Ownership: No registration charges,  Joint (Male + Female) Ownership: 1 % ",3,Apartment,2470.0,Super Built-up Area,19266000,True,Dec ‘28 possession,12-2028,https://newprojects.99acres.com/projects/siddhi_developers/aarohi_avinya/maps/x9ezeyn_1720001105_502149763.jpg,,Tanishqua Reality (RERA REGISTERED Dealer)
455919,Dev The Galaxy,Residential,NEW LAUNCH,Ahmedabad West,Shela,Gujarat,23.004977,72.469353,"THE GALAXY, Plot No. 956, Opp. Orchid Sky, Club 07 Road, Shela Sharkhej, Ahmedabad",382465,10600000,10600000,1.06 Cr,https://www.99acres.com/exidmicrosite/siteplan_g2c.php?live=2&g2c=1&xid_request=1&code=61826,True,3,"Lakeside living complemented by a natural lake and oxygen park | Two parking spaces allotted | Over 30 meticulously curated amenities, ensuring everyday indulgence | Amenities include indoor swimming pool, splash pool and home theatre","Stamp Duty: 5.9 % for Male, 4.9 % for Female, 5.9 % for Joint (Male and Female), 4.9 % For Joint (Female and Female) | Registration Charges: Male Ownership: 1%, Female Ownership: No registration charges,  Joint (Male + Female) Ownership: 1 % ",3,Apartment,2010.0,Super Built-up Area,10600000,True,Dec ‘28 possession,12-2028,https://imagecdn.99acres.com/projects/example/u9bg339_1762172840_667821643.jpg,,Dev Infinity buildcon pvt. ltd (Builder)
406898,Highline by AG Group,Residential,NEW LAUNCH,Ahmedabad West,Sola,Gujarat,23.09594309762,72.528014231255,"Gokul Road, S.G Highway, Gota, Ahmedabad - 382481",0,15500000,50896149,1.55 - 5.09 Cr,https://www.99acres.com/exidmicrosite/siteplan_g2c.php?live=2&g2c=1&xid_request=1&code=52572,True,"3,4","Luxurious three bedrooms and four bathroom units with minimum space wastage, having a customizable payment plan | Gujarat's  largest and iconic project with multiple usage of building | IGBC Gold certified building & 100 ft. minimum distance between each tower & 4 road corner plot | Design by international architect and construction by Rivera Infra Projects Pvt. Ltd.","Stamp Duty: 5.9 % for Male, 4.9 % for Female, 5.9 % for Joint (Male and Female), 4.9 % For Joint (Female and Female) | Registration Charges: Male Ownership: 1%, Female Ownership: No registration charges,  Joint (Male + Female) Ownership: 1 % ",3,Apartment,2700.0,Super Built-up Area,15500000,True,Dec ‘26 possession,12-2026,,https://www.99acres.com/exidmicrosite/property_2d3d_xid.php?projectCode=52572&bno=101&blockId=109192&fno=F1_101&measurement=1&jquery=1&compare=1&g2c=1&hide_button=1&switch_HD=1&platform=DESKTOP,AG GROUP (Builder) | MID FLOOR LLP (RERA REGISTERED Dealer) | Omprakash Tripathi (RERA REGISTERED Dealer) | Daksh Realtors (Dealer)
406898,Highline by AG Group,Residential,NEW LAUNCH,Ahmedabad West,Sola,Gujarat,23.09594309762,72.528014231255,"Gokul Road, S.G Highway, Gota, Ahmedabad - 382481",0,15500000,50896149,1.55 - 5.09 Cr,https://www.99acres.com/exidmicrosite/siteplan_g2c.php?live=2&g2c=1&xid_request=1&code=52572,True,"3,4","Luxurious three bedrooms and four bathroom units with minimum space wastage, having a customizable payment plan | Gujarat's  largest and iconic project with multiple usage of building | IGBC Gold certified building & 100 ft. minimum distance between each tower & 4 road corner plot | Design by international architect and construction by Rivera Infra Projects Pvt. Ltd.","Stamp Duty: 5.9 % for Male, 4.9 % for Female, 5.9 % for Joint (Male and Female), 4.9 % For Joint (Female and Female) | Registration Charges: Male Ownership: 1%, Female Ownership: No registration charges,  Joint (Male + Female) Ownership: 1 % ",4,Apartment,2701.0,Super Built-up Area,25500000,True,Dec ‘26 possession,12-2026,https://imagecdn.99acres.com/projects/example/dkqcmgk_1724153464_513026139.jpg,https://www.99acres.com/exidmicrosite/property_2d3d_xid.php?projectCode=52572&bno=106&blockId=109192&fno=F1_106&measurement=1&jquery=1&compare=1&g2c=1&hide_button=1&switch_HD=1&platform=DESKTOP,AG GROUP (Builder) | MID FLOOR LLP (RERA REGISTERED Dealer) | Omprakash Tripathi (RERA REGISTERED Dealer) | AV REALTY (Dealer) | Daksh Realtors (Dealer)
406898,Highline by AG Group,Residential,NEW LAUNCH,Ahmedabad West,Sola,Gujarat,23.09594309762,72.528014231255,"Gokul Road, S.G Highway, Gota, Ahmedabad - 382481",0,15500000,50896149,1.55 - 5.09 Cr,https://www.99acres.com/exidmicrosite/siteplan_g2c.php?live=2&g2c=1&xid_request=1&code=52572,True,"3,4","Luxurious three bedrooms and four bathroom units with minimum space wastage, having a customizable payment plan | Gujarat's  largest and iconic project with multiple usage of building | IGBC Gold certified building & 100 ft. minimum distance between each tower & 4 road corner plot | Design by international architect and construction by Rivera Infra Projects Pvt. Ltd.","Stamp Duty: 5.9 % for Male, 4.9 % for Female, 5.9 % for Joint (Male and Female), 4.9 % For Joint (Female and Female) | Registration Charges: Male Ownership: 1%, Female Ownership: No registration charges,  Joint (Male + Female) Ownership: 1 % ",4,Apartment,3800.0,Super Built-up Area,35875601,True,Dec ‘26 possession,12-2026,https://imagecdn.99acres.com/projects/example/oddkx9r_1724153193_513024841.jpg,https://www.99acres.com/exidmicrosite/property_2d3d_xid.php?projectCode=52572&bno=105&blockId=109192&fno=F1_105&measurement=1&jquery=1&compare=1&g2c=1&hide_button=1&switch_HD=1&platform=DESKTOP,AV REALTY (Dealer) | Daksh Realtors (Dealer)
